Title,ID,Abstract,Full text,FT_Relevant_Lorena,FT_Relevant_Manuel,FT_Relevant_Katja,Comments_Lorena,Comments_Manuel,Comments_Katja,DOI
"Split-Belt walking induces changes in active, but not passive, perception of step length",4,"Successful motor control requires accurate estimation of our body in space for planning, executing, and evaluating the outcome of our actions. It has been shown that the estimation of limb position is susceptible to motor adaptation. However, a similar effect has not been found in locomotion, possibly due to how it was tested. We hypothesized that split-belt walking with the legs moving at different speeds changes the estimation of the legs’ position when taking a step. Thus, we assessed young subjects’ perception of step length (i.e., inter-feet distance at foot landing) when they moved their legs (active perception) or when the legs were moved by the experimenter (passive perception). We found that the active perception of step length was substantially altered following split-belt walking, whereas passive perception exhibited minor changes. This suggests that split-belt walking induced the adaptation of efferent signals, without altering sensory signals. We also found that active perceptual shifts were sensitive to how they were tested: they were most salient in the trailing leg and at short step lengths. Our results suggest that split-belt walking could modulate the deficient perception of step length post-stroke, which may contribute to gait asymmetries impairing patients’ mobility.",01.pdf (https://dl.airtable.com/.attachments/4cb02b940fe7b893b478a727f063aa16/77e4dbef/01.pdf),checked,checked,checked,,"""we assessed young subjects’ perception of step length (i.e., inter-feet distance at foot landing) when they moved their legs (active perception) or when the legs were moved by the experimenter (passive perception).""",,https://doi.org/10.1038/s41598-019-52860-9
Haptic discrimination of distance,8,"While quite some research has focussed on the accuracy of haptic perception of distance, information on the precision of haptic perception of distance is still scarce, particularly regarding distances perceived by making arm movements. In this study, eight conditions were measured to answer four main questions, which are: what is the influence of reference distance, movement axis, perceptual mode (active or passive) and stimulus type on the precision of this kind of distance perception? A discrimination experiment was performed with twelve participants. The participants were presented with two distances, using either a haptic device or a real stimulus. Participants compared the distances by moving their hand from a start to an end position. They were then asked to judge which of the distances was the longer, from which the discrimination threshold was determined for each participant and condition. The precision was influenced by reference distance. No effect of movement axis was found. The precision was higher for active than for passive movements and it was a bit lower for real stimuli than for rendered stimuli, but it was not affected by adding cutaneous information. Overall, the Weber fraction for the active perception of a distance of 25 or 35 cm was about 11% for all cardinal axes. The recorded position data suggest that participants, in order to be able to judge which distance was the longer, tried to produce similar speed profiles in both movements. This knowledge could be useful in the design of haptic devices. © 2014 van Beek et al.",05.PDF (https://dl.airtable.com/.attachments/d205f2c6544f5e8110fbefceed510461/43a6fc8a/05.PDF),checked,checked,checked,,"""eight conditions were measured to answer four main questions, which are: what is the influence of reference distance, movement axis, perceptual mode (active or passive) and stimulus type on the precision of this kind of distance perception? A discrimination experiment was performed with twelve participants. """,,https://doi.org/10.1371/journal.pone.0104769
"""Active"" and ""passive"" learning of three-dimensional object structure within an immersive virtual reality environment",10,"We used a fully immersive virtual reality environment to study whether actively interacting with objects would effect subsequent recognition, when compared with passively observing the same objects. We found that when participants learned object structure by actively rotating the objects, the objects were recognized faster during a subsequent recognition task than when object structure was learned through passive observation. We also found that participants focused their study time during active exploration on a limited number of object views, while ignoring other views. Overall, our results suggest that allowing active exploration of an object during initial learning can facilitate recognition of that object, perhaps owing to the control that the participant has over the object views upon which they can focus. The virtual reality environment is ideal for studying such processes, allowing realistic interaction with objects while maintaining experimenter control.",06.pdf (https://dl.airtable.com/.attachments/c7ec975a95ba9ab3c9ee8abffdf33763/09245d59/06.pdf),checked,checked,checked,,,,https://doi.org/10.3758/BF03195466
An instance of tactile suppression: Active exploration impairs tactile sensitivity for the direction of lateral movement,11,"The phenomenon of a reduction in tactile sensitivity during voluntarily executed body movement we call ?tactile suppression?. This is in analogy to saccadic suppression where the visual sensitivity is reduced during voluntarily executed eye movements 1. Here we investigate tactile suppression using an integrated tactile/kinesthetic display consisting of a tactile shear force device 2 mounted on a hyper redundant haptic display (ViSHaRD10 3). To quantify the tactile suppression effect we measured subject?s motion-direction discrimination performance for tactile stimuli moving laterally on the index finger under various active and passive exploration conditions. In the baseline condition (?static?) only tactile stimuli were provided using the shear-force device while the arm was held still. In the ?active? condition subjects had to discriminate the direction of tactile motion while actively executing arm movements at the same time. Finally, in the ?passive? condition the kinesthetic device pas sively moved the subjects? arm, while the subject was performing the discrimination task. Compared to the ?still? condition results indicate a significant decrease of tactile sensibility during active movements whereas passive movements seem to have a minor effect on tactile discrimination performance.",07.pdf (https://dl.airtable.com/.attachments/b6d8b89d54433a38eb60f8333abf1da2/e8309d55/07.pdf),checked,checked,checked,,,"3 conditions: active, passive and static",https://pure.mpg.de/rest/items/item_1790891_3/component/file_3158556/content
Active and passive tactile braille recognition,18,"Subjects made visual matches to individual braille characters or named two-letter braille words. Tactile examination of braille was either active or passive. Active touch yielded superior performance to all passive conditions, with static presentations producing the poorest performance. Naive subjects were very poor at reading simple braille words with passive touch, but active exploration aided word identification. © 1986, Psychonomic Society, Inc.. All rights reserved.",11.pdf (https://dl.airtable.com/.attachments/d8b94cd7023bbe6ae065ffbf0c2c790c/906e090b/11.pdf),checked,checked,checked,,apparently there are no visually impaired participants,,https://doi.org/10.3758/BF03330548
Active versus passive touch in three dimensions,20,"Active subjects freely explored virtual three-dimensional geometric shapes using a phantom force-feedback device. Each active subject's movements were used to guide a passive subject over the same stimuli. In experiment 1 the active subject's movements were recorded and ""played back"" to the passive counterpart at a later time - a delayed yoking. Two phantoms were used in experiment 2 so that as the active subject explored, the passive subject was guided simultaneously along the same movement pathway. Active exploration yielded significantly shorter latencies than did passive-guided exploration.",12.pdf (https://dl.airtable.com/.attachments/b672edb2123a478da20ce3612bcf29fe/1ccc7490/12.pdf),checked,checked,checked,,,,https://doi.org/10.1109/WHC.2005.20
Active touch does not improve sequential processing in a counting task,21,"Active touch involves tactile and proprioceptive sensory inputs, activation of the motor system and executive functions. It has been shown by the previous literature that active touch facilitates shape recognition. Since both active and passive exploration requires sequential presentation of the tactile inputs, this facilitation may be due to the improvement of the sequential-processing mechanism. The effects of active and passive touch on the sequential processing of tactile inputs were tested at different stimulus-presentation rates in a counting task. Active touch did not improve the performance, which shows that the additional sensory and motor information conveyed by active exploration are not utilized by the sequential-processing mechanism. Therefore, the results cannot be explained by the feature-specific theory of sequential processing. On the other hand, the counting errors were higher than those predicted by the limitation of the minimal inter-stimulus interval, which is suggested by the central-timing theory. Consequently, it is proposed that a mechanism based on the central-timing theory may contribute to tactile sequential processing, but the bottleneck at high presentation rates is probably due to short-term memory.",13.pdf (https://dl.airtable.com/.attachments/076ad82e8c0b75528d51672bf0d23688/f2b40964/13.pdf),checked,checked,checked,,,,https://www.ncbi.nlm.nih.gov/pubmed/17691224
Dynamic cutaneous information is sufficient for precise curvature discrimination,24,"Our tactual perceptual experiences occur when we interact, actively and passively, with environmental objects and surfaces. Previous research has demonstrated that active manual exploration often enhances the tactual perception of object shape. Nevertheless, the factors that contribute to this enhancement are not well understood. The present study evaluated the ability of 28 younger (mean age was 23.1 years) and older adults (mean age was 71.4 years) to discriminate curved surfaces by actively feeling objects with a single index finger and by passively feeling objects that moved relative to a restrained finger. While dynamic cutaneous stimulation was therefore present in both conditions, active exploratory movements only occurred in one. The results indicated that there was a significant and large effect of age, such that the older participants' thresholds were 43.8 percent higher than those of the younger participants. Despite the overall adverse effect of age, the pattern of results across the active and passive touch conditions was identical. For both age groups, the curvature discrimination thresholds obtained for passive touch were significantly lower than those that occurred during active touch. Curvature discrimination performance was therefore best in the current study when dynamic cutaneous stimulation occurred in the absence of active movement.",16.pdf (https://dl.airtable.com/.attachments/4214c70160c8a6047557769a3d928239/21fe1c18/16.pdf),checked,checked,checked,,,,https://doi.org/10.1038/srep25473
Learning to find spatially reversed sounds,25,"Adaptation to systematic visual distortions is well-documented but there is little evidence of similar adaptation to radical changes in audition. We use a pseudophone to transpose the sound streams arriving at the left and right ears, evaluating the perceptual effects it provokes and the possibility of learning to locate sounds in the reversed condition. Blindfolded participants remain seated at the center of a semicircular arrangement of 7 speakers and are asked to orient their head towards a sound source. We postulate that a key factor underlying adaptation is the self-generated activity that allows participants to learn new sensorimotor schemes. We investigate passive listening conditions (very short duration stimulus not permitting active exploration) and dynamic conditions (continuous stimulus allowing participants time to freely move their heads or remain still). We analyze head movement kinematics, localization errors, and qualitative reports. Results show movement-induced perceptual disruptions in the dynamic condition with static sound sources displaying apparent movement. This effect is reduced after a short training period and participants learn to find sounds in a left-right reversed field for all but the extreme lateral positions where motor patterns are more restricted. Strategies become less exploratory and more direct with training. Results support the hypothesis that self-generated movements underlie adaptation to radical sensorimotor distortions.",17.pdf (https://dl.airtable.com/.attachments/12f5f73db73c4dca21523eaeef52a67e/4b2913e2/17.pdf),checked,checked,checked,,,,https://doi.org/10.1038/s41598-020-61332-4
Estimation of self-turning in the dark: Comparison between active and passive rotation,28,"The present work compares passive and active rotations in darkness with the aim of characterizing the contribution of efferent and proprioceptive information to the perception of angular displacement. The perception of angular displacements was measured in 12 naive subjects (Ss), who either stood on a rotating platform (passive mode, P) or actively turned about their vertical axis by stepping around 'on the spot' on a stationary platform (active mode, A). Rotations consisted of short acceleration epochs followed by constant velocity periods of 18.5, 37, and 55°/s, with angular displacements ranging from 30°to 810°(presented in a randomized order); in the case of active turning, Ss had learned to approximately produce any of these three velocity levels on command. Ss indicated perceived displacement either verbally (verbal estimation mode, E), or by stopping their rotation when self-displacement appeared to match the magnitude specified by the experimenter (targeting, T). The resulting four conditions (PE, PT, AE, AT) were administered blockwise. In none of the four conditions was there a systematic dependence of perception on turning velocity. Therefore, the results were pooled across velocities, and the Ss' performance was summarized in the form of estimation curves showing median estimates as a function of physical displacement. There were several differences between the passive and active modes: AE- and AT-estimation curves were linear, close to veracity, and fairly similar to each other. In contrast, the PE-curve was curved rightwardly ('saturation'), with small displacements being overestimated and large ones underestimated, whereas the PT-curve was linear and indicated a pronounced overestimation of large displacements. Moreover, both the random and the systematic errors (measures of individual consistency and correctness of individual calibration, respectively) were significantly smaller in the active than in the passive modes. The observed independence of Ss' perception from turning velocity also during passive rotation suggests that the perceptual time constant was significantly longer than 16 s (a value cited as typical for vestibular perception), being possibly 'enhanced' by contextual implications and by expectations of the Ss. The clear improvement of perceptual performance in the active mode testifies to the importance of the efferent and proprioceptive signals arising during active motion. On the assumption that these signals are about as 'noisy' as the vestibular ones, the smaller errors during active turning could result from their combination with the vestibular signal. Alternatively, they could also be intrinsically less noisy than the vestibular signal and simply replace the latter during active motion. In the context of these alternatives (which are not exhaustive), the general problem of sensory fusion is discussed, that is, by which mechanisms are signals from different sensory sources combined to obtain a unified representation of the self's orientation.",18.pdf (https://dl.airtable.com/.attachments/989dfe5d5fe1b27ca5f61db38af92079/04dae47b/18.pdf),checked,checked,checked,,self-rotation/propioception,,https://doi.org/10.1007/s002210050872
