Title,Abstract
Short psychotherapy in the treatment of psychosomatic vascular disorders,"Essential hypertension is one of the most frequent vascular and most typical psychosomatic diseases. The casual therapy is psychotherapy in a form of a short analysis dynamically oriented. This paper deals with the method and results obtained by short psychotherapy of 60 patients with essential hypertension, aged between 23 and 54. The therapeutic procedure is directed to the patients and to the patient-therapist conflict and interaction. The autopsychic conflict of not being able to invest a whole personality into the task of treatment was revealed in each patient. If free associations were manifested in the patient, the further treatment was aimed at revealing symptomatology and actual conflicts. Dispositions with aggressive tendencies were psychoreactively discovered, whereas, as relates the characters, those patients were extremely gay and vital personalities. The therapist's attitude kept varying from a passive listening to an active perceiving of emotional oscillations, never being that of a transfer neurosis. In achieving a therapeutical goal, a positive motivation was proved to be significant. Only in four patients the failure in treatment was due to a negative motivation and inability to choose a substitute. Although the estimation of short psychotherapy outcome based on the improvement of symptoms in essential hypertension has not been scientifically confirmed, it cannot be refuted as well, because each positive outcome is considered useful for the patient."
Research on environmental cognition architecture for intelligent mobile robots,"According to environmental cognition theory, a real bottom-up behavior-based environmental cognition architecture, in which ″sensory-action″ is taken as cognitive primitives is presented. Perception procedure of robot on the environment changes from the partial, discrete, passive sensing way to the global, continuous, active perceiving way. Environmental cognition is the result of the memory process of direct perceptional experiences. ″Autonomous distributed representation″ is proposed for representing the spatio-temporal experiences. The mechanism of the communication and learning between various levels is discussed, to form stimulus-response subsumption mechanism finally."
Life Log visualization system based on informationally structured space for supporting elderly people,"This paper proposes human behavior perception compound between passive perception and active perception. Human behavior is stored in a database for creating the life log to realize visualization system for supporting elderly people using iPad. First, we discuss the life log system configuration based on informationally structured space. We apply sensor network and smart phone for measuring human behavior to realize passive perception, and we also apply conversation system for conducting communication between robot partner and human to realize active perception. Next, we explain the database system that constructs informationally structured space. The cloud database is used to share the elderly people's life log information with the elderly people's family and caregivers through the visualization system. Finally, we discuss the usability of the Visualization System through experimental results. © 2013 IEEE."
Active touch for robust perception under position uncertainty,"In this paper, we propose that active perception will help attain autonomous robotics in unstructured environments by giving robust perception. We test this claim with a biomimetic fingertip that senses surface texture under a range of contact depths. We compare the performance of passive Bayesian perception with a novel approach for active perception that includes a sensorimotor loop for controlling sensor position. Passive perception at a single depth gave poor results, with just 0.2mm uncertainty impairing performance. Extending passive perception over a range of depths gave non-robust performance. Only active perception could give robust, accurate performance, with the sensorimotor feedback compensating the position uncertainty. We expect that these results will extend to other stimuli, so that active perception will offer a general approach to robust perception in unstructured environments. © 2013 IEEE."
Descartes and Active Perception,"In this paper, I argue that Descartes’ own characterization of sensory perception as given above is somewhat misleading. It does not fully reflect the active role that the Cartesian perceiver plays in organizing and constructing her own sensory perceptions. My paper begins by examining Descartes’ proof of the existence of the external world in the Sixth Meditation. On the basis of what Descartes says there (and in the Passions of the Soul), I distinguish two ways in which the Cartesian perceiver might be thought to be passive. I shall call these two senses of passivity, respectively, passivity simpliciter and non-volitional passivity. This paper will examine and assess the arguments for and against the claims that the Cartesian agent is both passive simpliciter and non-volitionally passive."
On the relative complexity of active vs. passive visual search,"Here, this author attempts to tie the concept of active perception to attentive processing in general and to the complexity level analysis of visual search described previously; the aspects of active vision as they have been currently described form a subset of the full spectrum of attentional capabilities. Our approach is motivated by the search requirements of vision tasks and thus we cast the problem as one of search preceding the application of methods for shape-from-X, optical flow, etc., and recognition in general. This perspective permits a dimension of analysis not found in current formulations of the active perception problem, that of computational complexity. This article describes where the active perception paradigm does and does not provide computational benefits along this dimension. A formalization of the search component of active perception is presented in order to accomplish this. The link to attentional mechanisms is through the control of data acquisition and processing by the active process. It should be noted that the analysis performed here applies to the general hypothesize-and-test search strategy, to time-varying scenes as well as to the general problem of integration of successive fixations. Finally, an argument is presented as to why this framework is an extension of the behaviorist approaches to active vision. © 1992 Kluwer Academic Publishers."
Active force perception depends on cerebellar function,"Damage to the cerebellum causes characteristic movement abnormalities but is thought to have minimal impact on somatosensory perception. Traditional clinical assessments of patients with cerebellar lesions reveal no perceptual deficits despite the fact that the cerebellum receives substantial somatosensory information. Given that abnormalities have been reported in predicting the visual consequences of movement, we suspect that the cerebellum broadly participates in perception when motor output is required (i.e., active perception). Thus we hypothesize that cerebellar integrity is essential for somatosensory perception that requires motor activity, but not passive somatosensory perception. We compared the perceptual acuity of human cerebellar patients to that of healthy control subjects in several different somatosensory perception tasks with minimal visual information. We found that patients were worse at active force and stiffness discrimination but similar to control subjects with regard to passive cutaneous force detection, passive proprioceptive detection, and passive proprioceptive discrimination. Furthermore, the severity of movement symptoms as assessed by a clinical exam was positively correlated with impairment of active force perception. Notably, within the context of these perceptual tasks, control subjects and cerebellar patients displayed similar movement characteristics, and hence differing movement strategies are unlikely to underlie the differences in perception. Our results are consistent with the hypothesis that the cerebellum is vital to sensory prediction of self-generated movement and suggest a general role for the cerebellum in multiple forms of active perception. © 2012 the American Physiological Society."
Microsaccades for neuromorphic stereo vision,"Depth perception through stereo vision is an important feature of biological and artificial vision systems. While biological systems can compute disparities effortlessly, it requires intensive processing for artificial vision systems. The computing complexity resides in solving the correspondence problem – finding matching pairs of points in the two eyes. Inspired by the retina, event-based vision sensors allow a new constraint to solve the correspondence problem: time. Relying on precise spike-time, spiking neural networks can take advantage of this constraint. However, disparities can only be computed from dynamic environments since event-based vision sensors only report local changes in light intensity. In this paper, we show how microsaccadic eye movements can be used to compute disparities from static environments. To this end, we built a robotic head supporting two Dynamic Vision Sensors (DVS) capable of independent panning and simultaneous tilting. We evaluate the method on both static and dynamic scenes perceived through microsaccades. This paper demonstrates the complementarity of event-based vision sensors and active perception leading to more biologically inspired robots."
Active visual perception for mobile robot localization,"Localization is a key issue for a mobile robot, in particular in environments where a globally accurate positioning system, such as GPS, is not available. In these environments, accurate and efficient robot localization is not a trivial task, as an increase in accuracy usually leads to an impoverishment in efficiency and viceversa. Active perception appears as an appealing way to improve the localization process by increasing the richness of the information acquired from the environment. In this paper, we present an active perception strategy for a mobile robot provided with a visual sensor mounted on a pan-tilt mechanism. The visual sensor has a limited field of view, so the goal of the active perception strategy is to use the pan-tilt unit to direct the sensor to informative parts of the environment. To achieve this goal, we use a topological map of the environment and a Bayesian non-parametric estimation of robot position based on a particle filter. We slightly modify the regular implementation of this filter by including an additional step that selects the best perceptual action using Monte Carlo estimations. We understand the best perceptual action as the one that produces the greatest reduction in uncertainty about the robot position. We also consider in our optimization function a cost term that favors efficient perceptual actions. Previous works have proposed active perception strategies for robot localization, but mainly in the context of range sensors, grid representations of the environment, and parametric techniques, such as the extended Kalman filter. Accordingly, the main contributions of this work are: i) Development of a sound strategy for active selection of perceptual actions in the context of a visual sensor and a topological map; ii) Real time operation using a modified version of the particle filter and Monte Carlo based estimations; iii) Implementation and testing of these ideas using simulations and a real case scenario. Our results indicate that, in terms of accuracy of robot localization, the proposed approach decreases mean average error and standard deviation with respect to a passive perception scheme. Furthermore, in terms of efficiency, the active scheme is able to operate in real time without adding a relevant overhead to the regular robot operation. © 2009 Springer Science+Business Media B.V."
Integration of passive and active vision for range calculation in 2D images,"Computer vision is a complicated process. It involves the acquisition of sensed data, extracting relevant information from it and organizing the resulting information in a mathematical and symbolic representation for reasoning purposes. In this paper, we introduce a new method for the acquisition of range information associated with points on 2D images. The irregular triangular mesh (ITM), which is a feature-based modeling technique, is used to synthesize 3D models for the observed scenes. The correspondence between the ITM features and those extracted from the 2D images leads to the integration of active and passive vision. The addition of the range information to 2D intensity images is useful in various applications. While the modeling phase synthesizes the ITM off-line, it is suitable for real-time applications where range information is a key element. Additionally, it is adequate for guiding data acquisition using laser digitizer to acquire the range at selected points of interest. Thus, using monocular vision, accurate 3D knowledge of scenes and objects is synthesized. This technique was tested on a robot cap."
