,DECISION 1,chi_d,federico_d,kari_d,katrina_d,sofija_d,thu_d,delaney_d,num_acc,num_rej,,
0,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,2,5,REJECTED,
1,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
2,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,1,6,REJECTED,
3,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
4,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,6,1,ACCEPTED,
5,REJECTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,UNFILLED,ACCEPTED,REJECTED,4,2,ACCEPTED,
6,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,5,2,ACCEPTED,
7,REJECTED,REJECTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,3,4,REJECTED,
8,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
9,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
10,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,3,4,REJECTED,
11,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,ACCEPTED,5,2,ACCEPTED,
12,REJECTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,ACCEPTED,4,3,ACCEPTED,
13,REJECTED,REJECTED,ACCEPTED,REJECTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,4,3,ACCEPTED,
14,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
15,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
16,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,1,6,REJECTED,
17,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
18,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,UNFILLED,ACCEPTED,REJECTED,1,5,REJECTED,
19,REJECTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,5,2,ACCEPTED,
20,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
21,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
22,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,1,6,REJECTED,
23,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
24,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,2,5,REJECTED,
25,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,6,1,ACCEPTED,
26,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,UNFILLED,ACCEPTED,REJECTED,2,4,REJECTED,
27,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,2,5,REJECTED,
28,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,2,5,REJECTED,
